Square_Footage, Bedrooms, Bathrooms, Neighborhood, Year_Built, Garage_Size, Price
1012,6,3,Urban,1970,461,150693.63
2803,4,4,Urban,1985,666,453577.94
1460,2,4,Urban,1963,439,377105.14
1703,2,3,Rural,1952,610,218130.87
2691,3,3,Suburban,1981,95,435288.91
2869,2,3,Suburban,1993,541,395401.28
1124,4,4,Suburban,2003,737,498147.03
2731,3,2,Suburban,1987,382,270694.18
1458,5,4,Suburban,2019,630,222779.66
1765,3,2,Urban,1995,177,202679.45
2113,4,4,Suburban,2004,517,216171.73
916,4,2,Suburban,1984,302,314249.27
2146,5,1,Suburban,1966,529,528754.14
2393,2,3,Suburban,2019,271,277424.8
2572,4,4,Urban,1971,714,561497.51
1436,2,2,Suburban,1994,616,513718.91
1048,4,4,Urban,1998,47,567642.68
868,5,3,Rural,1992,184,110019.03
2563,5,1,Urban,2003,472,235849.16
2212,2,1,Urban,2015,681,520410.53
1100,3,4,Urban,2010,71,105158.99
2114,4,2,Suburban,2001,35,409963.46
2909,4,2,Rural,1958,765,445538.63
1135,5,2,Urban,2004,120,559670.98
1045,5,1,Urban,1956,469,399506.84
1462,2,2,Rural,2016,322,489631.43
1211,6,2,Urban,1963,465,319447.26
1904,2,2,Urban,1957,179,254001.04
1266,6,2,Suburban,1969,483,150036.85
2691,6,3,Rural,1986,196,535402.51
2959,6,1,Suburban,1989,82,117991.57
2190,4,3,Rural,1998,120,269589.47
1089,2,2,Urban,1952,544,123143.9
2131,3,2,Urban,1960,578,352138.03
1571,6,4,Urban,2012,539,261919.74
1360,5,1,Urban,1954,112,472374.34
1134,2,3,Suburban,2015,182,194402.77
1386,5,1,Rural,1989,685,553446.57
919,2,3,Rural,2020,543,321952.61
2712,6,4,Urban,1967,646,474123.13
2956,5,2,Urban,1956,41,185965.16
1441,2,4,Rural,1964,218,129088.04
2927,6,1,Urban,2011,402,365512.31
2583,5,1,Rural,1952,311,474050.61
2486,3,1,Rural,1959,756,291110.38
1627,2,2,Urban,2009,374,341022.12
899,3,1,Urban,1957,791,438806.64
1376,4,4,Rural,2016,570,514844.64
1214,3,2,Urban,1954,611,316508.57
2650,2,4,Urban,1995,269,230612.24
1775,2,4,Rural,1963,712,510470.15
2305,2,3,Suburban,1952,84,407138.8
2088,4,1,Rural,1985,557,114718.01
1441,6,1,Rural,1988,59,108912.91
1467,6,2,Urban,1977,44,103964.3
2918,4,3,Suburban,2014,575,351266.21
1320,4,3,Suburban,1979,373,290191.5
1870,2,2,Suburban,1996,106,426634.03
2520,5,1,Urban,1987,228,399143.12
949,6,3,Urban,1981,89,335527.22
1610,5,2,Urban,1990,520,240635.38
2818,4,2,Suburban,2017,255,441345.71
2364,3,1,Urban,1957,476,534244.49
1818,2,3,Suburban,2002,348,306680.5
1416,4,2,Rural,2009,84,103580.86
2522,6,2,Rural,1964,372,341520.3
2432,4,2,Urban,1950,94,130198.51
2116,4,3,Rural,2014,412,339515.84
2848,2,2,Suburban,1989,745,246355.7
2914,2,3,Suburban,2004,536,258578.38
2673,5,1,Suburban,1956,134,277120.26
1726,3,3,Rural,1989,117,344388.51
2042,4,2,Rural,1979,602,294382.1
2602,6,2,Suburban,2017,651,302402.63
2195,6,2,Urban,1967,700,279064.22
1021,3,2,Urban,1950,463,401636.0
1435,4,1,Rural,1990,388,294106.76
2774,2,2,Suburban,1995,72,442616.79
1041,3,2,Rural,1972,768,514364.83
1850,6,2,Urban,1967,428,343320.94
1921,4,4,Suburban,1962,657,223316.68
2319,4,2,Rural,2016,620,242855.83
1011,5,3,Urban,1995,299,544092.47
856,6,1,Urban,1950,787,424130.45
2118,4,1,Rural,1970,387,364586.78
2466,4,1,Rural,1994,136,466881.61
1159,6,3,Suburban,2018,318,431367.47
2306,3,3,Suburban,2012,527,586446.1
2110,3,3,Suburban,2005,13,212687.85
1667,2,3,Rural,1988,129,372408.45
2857,6,4,Urban,2016,100,348377.99
2681,3,2,Suburban,1973,305,541022.1
1558,2,4,Rural,1994,734,526703.75
1907,6,3,Suburban,1978,357,501102.97
2594,3,4,Suburban,1976,420,456710.12
1463,2,3,Suburban,1974,98,344619.22
2811,2,3,Rural,2012,488,589323.27
1725,6,1,Suburban,1970,458,288238.88
1405,5,4,Suburban,2010,48,143736.83
2368,3,2,Suburban,1985,585,503445.87
1545,6,1,Urban,1972,710,459826.67
1773,2,2,Suburban,1967,92,106885.75
2221,6,1,Rural,1965,618,253767.67
1496,2,3,Rural,2006,359,293810.67
1479,5,3,Suburban,2000,45,168764.97
2050,3,4,Urban,2003,470,258256.79
1860,2,2,Suburban,1979,242,375677.95
1237,5,2,Suburban,1987,57,170306.87
840,5,2,Rural,2010,517,293489.17
2990,6,4,Rural,2008,64,543098.03
907,5,1,Suburban,1968,64,229776.6
1788,5,4,Urban,1973,577,389456.22
921,6,2,Suburban,1963,673,460884.29
1072,3,1,Suburban,1979,10,138174.61
1023,5,4,Urban,1987,569,341664.96
2719,2,2,Suburban,1990,296,398251.94
1991,4,3,Urban,1956,710,486139.07
1861,3,1,Suburban,1997,290,406415.19
2050,5,2,Suburban,2016,85,213576.53
1575,5,1,Rural,1990,503,217663.81
2881,4,4,Urban,1952,253,426011.2
2704,4,3,Suburban,1980,602,372301.49
2276,2,2,Suburban,1983,800,478887.37
2340,2,4,Suburban,1951,338,278861.07
2819,6,1,Urban,2004,479,221663.72
2741,5,2,Suburban,2014,129,230462.21
2609,3,1,Urban,2005,529,528601.5
2252,6,1,Urban,1958,334,549242.48
2400,5,2,Urban,1999,427,167674.36
1520,3,3,Urban,2003,576,585214.07
1651,4,2,Suburban,1961,127,488660.9
2014,3,2,Urban,1976,490,207828.4
2059,4,2,Suburban,1998,75,206100.91
1274,4,2,Urban,1963,676,341534.45
2962,2,4,Rural,1975,174,319417.45
1135,2,3,Rural,1973,696,506092.7
2454,6,4,Urban,1957,359,227993.1
1577,4,1,Suburban,1965,297,592863.48
1293,6,1,Rural,2011,497,488153.83
2463,6,1,Rural,1951,343,266338.8
878,4,2,Suburban,1952,352,490374.26
2845,6,4,Suburban,2004,474,546569.83
1760,3,1,Urban,1956,400,462426.97
2466,3,1,Suburban,1980,203,142061.06
2190,3,4,Suburban,1996,427,348016.06
2017,6,3,Rural,2010,556,467083.35
1663,2,2,Rural,2011,162,549387.0
2558,6,2,Rural,1972,354,132541.44
1703,2,3,Suburban,1999,407,418369.64
2670,5,4,Urban,1998,132,454960.13
2816,4,3,Urban,1968,538,184365.34
813,2,3,Urban,1999,256,283786.68
1195,5,1,Suburban,1972,92,431096.2
2451,3,2,Urban,1960,643,413548.12
2165,2,2,Rural,2007,451,522834.94
1040,2,4,Rural,2009,440,211359.54
1857,5,3,Urban,1993,123,194845.9
1191,5,3,Rural,1965,422,184261.97
2775,5,1,Urban,2001,201,573822.13
2227,5,2,Suburban,1987,295,455216.25
1889,3,2,Urban,1960,64,154502.89
2816,4,1,Rural,1999,422,293734.88
2451,2,1,Urban,1964,476,265465.28
1067,4,2,Rural,1956,207,587064.06
1520,6,4,Rural,1999,527,411995.87
2340,6,2,Suburban,1990,274,563199.79
2297,4,4,Urban,1958,8,117157.2
1488,3,1,Rural,1954,218,597372.3
2678,5,3,Suburban,1992,467,178603.05
1582,3,1,Suburban,1952,156,373508.73
886,4,4,Rural,1960,255,262639.59
2576,2,2,Rural,2019,420,466979.23
2011,4,4,Rural,1964,91,337664.4
2509,6,1,Suburban,2016,349,563816.89
2793,6,1,Suburban,1968,46,556373.76
1922,2,4,Suburban,1961,40,144178.81
1668,5,1,Suburban,1957,231,280641.3
2008,3,1,Rural,2007,194,585038.25
1373,2,1,Urban,1981,645,222787.62
2026,5,3,Rural,1963,611,319015.67
1465,4,2,Suburban,2000,693,453676.3
1396,5,2,Suburban,1963,16,427428.65
2726,4,1,Urban,1959,21,219211.74
889,5,2,Urban,2004,53,575175.82
2626,5,4,Rural,1951,23,278121.54
2440,3,4,Suburban,2016,396,104732.59
1507,3,3,Suburban,2012,181,392163.05
2393,5,2,Urban,1995,43,357650.54
1047,6,2,Suburban,1976,504,330590.5
2191,4,4,Urban,1993,410,227270.23
2551,5,2,Rural,1992,218,162748.45
1977,3,1,Rural,1950,222,304051.5
1179,5,1,Suburban,1950,186,265400.74
2707,5,1,Urban,1957,453,474428.98
2993,5,2,Urban,1968,385,124541.89
2026,2,4,Suburban,1971,762,280919.82
1267,5,3,Urban,2010,725,379171.99
2139,6,4,Urban,1968,451,240731.88
1605,2,4,Rural,1953,518,358750.08
1397,5,2,Suburban,1999,680,315759.33
2548,2,4,Rural,2016,718,453403.19
1945,6,1,Rural,2007,587,491079.77
1356,4,3,Suburban,1974,331,183432.24
2228,4,1,Urban,1987,35,323118.19
2632,3,2,Rural,1994,755,351149.96
2279,4,3,Rural,1998,181,192951.87
2842,3,1,Rural,1985,54,156407.19
1905,6,4,Rural,1988,13,409498.28
2186,4,1,Urban,2015,181,328425.04
1905,5,3,Rural,1956,389,574145.67
2534,4,4,Suburban,1971,216,198957.09
2803,5,2,Urban,2008,421,273243.76
1998,2,4,Rural,1972,466,416097.99
1755,2,4,Suburban,1970,756,243137.24
2851,4,2,Urban,1953,515,144028.54
1087,4,2,Rural,1988,789,541062.26
1694,3,2,Suburban,1951,622,245800.84
2969,5,1,Rural,2008,246,462381.05
1079,4,2,Urban,1992,101,413463.34
2294,6,1,Suburban,1963,793,528000.36
1007,5,4,Suburban,1993,364,541714.47
1922,6,1,Suburban,1997,308,560513.36
2117,6,2,Rural,2001,327,563206.84
1594,5,4,Urban,1971,502,534042.98
2025,3,4,Rural,1990,68,356436.22
1217,5,4,Rural,2004,783,267271.25
2770,6,3,Rural,2011,659,520623.72
1820,3,4,Rural,2017,659,313955.45
2930,4,3,Suburban,1968,430,222150.86
1367,5,2,Suburban,1969,611,505823.46
1526,5,2,Suburban,1966,743,478627.7
1539,6,3,Rural,1970,406,111806.1
1474,3,4,Suburban,2004,166,418586.72
1470,3,3,Urban,1980,117,365806.13
2282,5,1,Rural,1973,60,330163.74
1675,6,4,Urban,2013,8,136740.45
2414,2,4,Rural,2010,111,589937.53
2856,4,3,Rural,1951,311,395363.3
2217,5,4,Suburban,1960,699,572661.73
2297,3,4,Suburban,1979,547,257640.13
2809,4,1,Rural,1982,654,313504.85
1787,5,3,Rural,2010,171,475432.1
2522,2,1,Urban,1971,262,215387.05
2571,2,1,Rural,1956,658,142759.19
1012,4,3,Suburban,1969,669,512523.75
992,5,3,Urban,2015,142,519041.19
879,6,4,Rural,1986,411,582318.61
2823,6,1,Rural,1992,32,277953.31
1832,6,4,Suburban,1955,615,269576.3
2045,3,4,Suburban,1993,609,204714.75
2738,2,3,Urban,1996,249,490663.18
1752,4,4,Rural,1980,528,580302.39
2960,3,1,Rural,1958,153,177085.72
1606,2,3,Suburban,1974,194,438000.58
1414,3,3,Suburban,1981,17,479969.68
1350,2,2,Rural,1955,290,371941.46
2906,5,4,Suburban,2008,102,337559.83
2322,2,1,Rural,2006,709,420519.97
1434,3,1,Suburban,2001,9,532534.24
2494,5,3,Rural,1968,364,544148.09
2304,6,2,Rural,2012,743,389591.76
1096,6,3,Urban,2002,720,547518.86
2684,2,2,Rural,1979,441,244086.21
2638,2,1,Rural,1974,767,394846.5
1040,2,4,Urban,1994,468,466235.51
2604,6,4,Urban,1975,727,198892.89
1452,6,3,Suburban,1958,146,466538.65
1058,3,2,Urban,2004,48,321973.93
2793,3,2,Urban,1966,766,292446.51
2547,4,2,Rural,1953,459,586290.56
1419,5,4,Rural,1974,615,391400.57
2645,3,3,Urban,1953,106,188721.2
1017,2,4,Rural,1960,54,223805.07
2025,5,1,Rural,1953,7,100579.32
2670,4,3,Urban,1952,44,123713.27
2278,4,4,Suburban,1954,147,211139.12
2766,5,1,Urban,1957,205,532865.46
2339,2,2,Suburban,2013,183,463148.59
1842,2,1,Suburban,1969,646,340850.04
1981,6,4,Urban,1962,128,548402.96
1473,5,2,Rural,2007,625,131242.34
2475,6,2,Rural,1979,746,410909.72
951,6,2,Urban,1992,776,287199.91
2136,6,2,Rural,1976,644,522037.51
2658,5,4,Rural,1997,371,261329.66
1229,2,4,Rural,2003,13,485431.09
2502,3,2,Rural,1960,362,492378.07
1972,3,2,Urban,1992,647,457106.43
1775,3,1,Suburban,1984,130,455984.56
2141,4,2,Urban,1959,128,219470.24
1333,3,2,Urban,1978,723,121554.28
2583,3,4,Urban,1967,642,361239.53
2772,4,4,Urban,1985,630,118968.55
811,4,2,Urban,1989,144,133286.18
1641,4,3,Urban,1963,405,419897.74
2462,6,4,Urban,1980,72,555300.23
1910,4,4,Rural,1993,376,560371.65
1757,3,4,Urban,1972,102,388615.01
1170,2,4,Urban,1994,579,529102.42
2045,3,4,Rural,2008,660,135335.46
918,6,2,Rural,1993,273,144770.78
2678,6,4,Suburban,1990,118,315904.41
1553,6,1,Urban,1963,115,210986.32
1179,5,1,Suburban,2002,133,489568.59
2198,5,3,Urban,1980,161,571397.51
2160,4,2,Suburban,1979,336,332495.71
2309,4,3,Rural,1964,172,238170.52
988,5,4,Suburban,1963,117,448493.79
993,5,1,Rural,1973,9,316606.92
2867,4,4,Urban,2018,55,484310.75
1362,2,4,Rural,1985,164,597225.76
2752,4,3,Urban,1973,645,125788.21
2604,6,3,Rural,1987,23,461935.27
886,3,2,Rural,2014,487,460319.76
1029,5,1,Rural,2003,761,490977.77
2655,2,2,Rural,2020,423,236681.66
1506,2,4,Suburban,1966,791,108864.29
1302,3,3,Urban,1955,248,219815.15
2669,5,2,Urban,1978,227,594876.06
1573,6,1,Urban,1973,669,361960.59
2885,3,3,Urban,1950,127,470109.83
1756,3,4,Urban,1991,114,363940.85
1837,3,1,Urban,1982,323,567779.06
1893,3,4,Rural,1987,594,293423.23
2211,5,3,Suburban,1964,259,187140.99
1974,6,3,Urban,2000,79,320212.67
2657,3,2,Urban,1966,112,541639.66
1726,4,1,Rural,1974,619,370887.75
1923,5,1,Rural,1999,687,577331.3
2914,5,4,Rural,1985,4,593841.6
1903,5,3,Urban,1989,139,577344.2
2183,3,1,Rural,1991,197,149094.1
1028,4,3,Suburban,2014,419,155999.34
1935,2,1,Rural,1971,107,156091.77
1135,2,2,Urban,1985,551,428014.22
2016,5,2,Rural,2008,41,116658.71
2891,2,3,Rural,1983,480,547381.99
2163,2,2,Rural,1950,278,447636.71
2212,5,4,Suburban,1964,189,518387.89
2756,2,3,Rural,2003,770,245028.2
2650,6,1,Suburban,1991,284,383639.46
922,5,3,Suburban,1988,604,152002.09
1798,4,3,Urban,1990,703,433787.3
2540,4,3,Rural,1987,36,514620.31
2859,5,1,Suburban,1984,237,245262.49
1829,2,4,Rural,2014,432,458930.64
2531,3,2,Urban,2020,38,417249.3
1521,2,2,Suburban,1962,204,199544.58
2731,4,2,Urban,2001,740,374556.34
1476,4,4,Suburban,1991,218,116101.59
1407,5,3,Rural,1988,169,340542.31
1291,2,1,Rural,1958,544,239623.62
2593,4,2,Urban,2003,541,308240.0
2571,3,4,Urban,1997,478,334967.61
1306,4,4,Urban,1991,423,265061.99
2294,2,1,Rural,1999,42,258782.55
1832,4,2,Rural,1976,777,439493.24
1928,6,2,Rural,1981,398,221484.77
1329,2,2,Urban,1955,374,395659.07
2243,3,4,Urban,2018,189,566102.41
2704,2,4,Urban,1966,389,300623.83
2236,6,4,Urban,1951,231,232011.07
1963,6,2,Suburban,1977,222,254064.85
1655,3,2,Rural,1981,212,392723.73
2759,5,2,Urban,1986,669,400641.31
936,6,4,Urban,1967,604,574185.18
940,6,1,Urban,1973,738,184682.33
1815,3,4,Urban,2020,49,569506.94
1677,6,1,Urban,2014,332,155365.3
1961,5,3,Urban,1955,315,408768.79
1770,4,2,Urban,1988,313,144979.02
904,4,2,Rural,2011,39,162736.6
2078,3,3,Rural,1993,381,254185.58
1271,5,4,Rural,2017,96,337153.12
1011,5,4,Rural,2020,654,393932.23
948,5,1,Urban,1986,213,294301.67
1479,6,1,Rural,1994,443,248645.41
2101,5,1,Rural,1993,659,441282.87
1230,3,4,Rural,2010,486,546972.4
892,6,1,Suburban,1969,700,333875.77
2010,6,4,Suburban,1976,605,211150.79
2083,5,2,Suburban,1980,653,168202.74
928,2,3,Rural,2011,10,224444.18
2833,3,3,Suburban,2015,718,462271.92
2677,2,1,Rural,1996,167,466930.99
1735,5,2,Rural,1998,755,105580.24
1491,4,3,Urban,1988,670,454028.17
2782,4,4,Urban,1960,350,593292.87
1981,5,3,Rural,2011,516,555665.12
1649,3,3,Suburban,1962,574,451839.12
1058,3,3,Rural,1971,76,504881.58
1781,3,1,Urban,1993,45,133258.97
985,4,4,Urban,1997,6,260338.6
2196,5,1,Rural,1990,744,365534.72
2840,4,3,Suburban,1955,590,255700.6
1637,5,4,Urban,1968,379,221927.39
2546,4,2,Rural,1988,606,182482.76
2332,6,3,Suburban,2015,622,378244.89
1931,3,4,Rural,2003,152,124717.24
1124,2,4,Urban,1996,261,270512.1
1472,4,1,Rural,1989,546,580770.41
1208,4,1,Rural,1987,611,190925.5
1253,4,2,Rural,1952,497,264409.98
2390,6,3,Rural,2010,680,208484.72
2064,6,3,Rural,1997,519,402131.05
988,4,4,Urban,2009,632,355569.46
1165,3,3,Rural,2011,401,350024.22
1892,5,4,Suburban,2004,755,472326.53
2499,6,3,Rural,1988,144,123126.02
1490,3,3,Suburban,1974,255,238771.84
1965,4,1,Suburban,1971,192,235757.16
2783,3,3,Suburban,2009,63,510737.9
1538,5,4,Urban,1952,24,123498.94
2520,5,1,Rural,1962,356,397877.34
2930,6,2,Urban,1977,560,504179.28
1440,3,2,Rural,1962,25,559900.0
1779,5,4,Suburban,2011,679,441452.02
2334,3,2,Rural,1977,511,450369.47
2180,4,3,Urban,2004,521,323019.3
1268,6,3,Rural,1984,709,328872.39
2125,4,2,Urban,1972,306,551434.71
1895,2,3,Urban,2012,617,151478.84
1625,6,4,Rural,1989,69,452252.23
1972,2,4,Urban,2008,716,231288.65
1479,2,2,Urban,2018,481,520830.19
2823,4,1,Urban,1958,480,324582.82
2362,2,2,Rural,1993,618,317331.27
2166,5,2,Rural,2009,199,390470.69
1095,4,3,Suburban,2008,345,260908.07
2473,4,3,Rural,1964,467,229073.55
1964,2,4,Suburban,2004,415,182081.82
1891,3,4,Rural,2004,399,255397.25
1526,5,1,Suburban,1971,81,306913.72
1669,4,4,Suburban,1968,233,460625.82
2270,6,1,Rural,1961,34,310838.75
2588,3,4,Urban,1953,154,233280.28
1352,6,3,Suburban,1985,328,577770.38
2885,2,1,Rural,1963,238,239844.96
2030,3,2,Suburban,2008,339,241724.94
2670,4,3,Suburban,1964,73,248618.86
2453,4,4,Urban,1997,29,385650.97
2385,5,3,Rural,1971,192,161254.03
2787,4,1,Suburban,1959,114,236673.43
1750,5,4,Suburban,1980,571,397125.11
1059,6,1,Urban,2000,320,501550.62
2402,5,3,Urban,1979,422,212094.09
1959,3,4,Suburban,2018,47,269527.86
2300,4,2,Rural,1990,249,588979.21
1235,6,4,Rural,1979,66,277788.34
2037,5,2,Urban,2015,132,119161.1
1915,6,2,Rural,1970,410,500825.65
929,5,1,Suburban,1961,221,549076.71
2546,6,1,Urban,1955,531,387810.31
2716,3,4,Suburban,1994,629,554462.51
1319,2,2,Rural,1961,183,280399.49
2839,6,1,Urban,1992,399,490324.87
1442,2,2,Urban,1975,651,216645.38
1463,5,1,Urban,2013,428,385036.73
1952,2,2,Rural,2005,133,545052.22
1205,3,4,Urban,2016,160,410706.51
1026,6,4,Rural,1959,241,123625.48
2726,3,2,Urban,1992,568,471477.79
2414,4,3,Suburban,1970,525,453099.99
1533,6,4,Rural,1977,232,483864.35
2054,2,2,Suburban,1951,93,123358.66
2248,5,3,Rural,1984,243,362870.96
1628,5,2,Rural,1975,470,186840.49
2245,6,1,Urban,2002,749,394092.16
2693,4,3,Urban,1995,51,528910.31
1744,3,2,Rural,2000,585,233358.87
2724,3,1,Rural,1985,771,359873.59
2454,4,3,Suburban,1987,28,439968.68
2963,2,1,Rural,1967,444,528237.12
2254,3,1,Urban,1958,272,126360.86
887,6,3,Suburban,1952,623,514080.71
2819,5,3,Suburban,1957,679,183009.69
2426,5,3,Urban,2013,598,231347.52
834,4,1,Urban,1959,350,382006.73
1529,2,4,Rural,1969,752,387341.64
2764,6,4,Rural,1973,32,594311.44
1330,6,3,Suburban,2007,706,385753.93
1432,6,3,Suburban,1985,92,322047.44
2187,2,4,Urban,1961,26,258025.24
2949,6,2,Suburban,1992,389,306530.31
3000,3,1,Suburban,2017,152,221972.56
1369,2,3,Rural,1976,246,267114.09
1661,4,4,Suburban,1985,375,301936.1
2172,4,4,Rural,1973,484,107013.94
971,3,1,Urban,1993,535,175093.49
2956,4,2,Rural,2014,644,190877.73
2765,4,2,Urban,1957,56,147722.18
1255,5,3,Suburban,1978,105,308104.8
2935,2,3,Urban,1980,762,275173.27
2479,6,3,Urban,1983,244,391310.17
1140,3,2,Rural,1967,707,200055.45
1896,4,1,Suburban,1968,509,370398.27
1554,3,3,Urban,1960,36,508161.5
2879,4,2,Urban,1992,138,574873.69
2726,3,1,Suburban,1953,127,176261.47
972,4,1,Urban,1961,431,499746.97
2472,5,1,Rural,2019,488,436939.02
2239,6,3,Urban,1994,699,180639.74
2302,2,1,Urban,1989,644,576345.36
2939,4,3,Urban,1972,198,168702.53
1338,6,3,Suburban,1967,181,416871.93
1968,2,2,Urban,2006,396,283836.84
1606,6,2,Suburban,2002,83,546359.39
997,5,2,Rural,2010,413,473838.06
2047,5,3,Suburban,2019,369,429480.4
1117,5,2,Urban,1987,435,392056.23
2511,3,1,Urban,1953,263,324400.11
1276,6,4,Rural,1972,545,332275.74
2594,4,3,Urban,2006,608,550750.71
2249,2,4,Suburban,1952,601,342646.13
900,6,2,Suburban,2017,136,510815.84
1494,3,2,Urban,1981,603,172678.17
2342,3,2,Suburban,1970,122,281616.29
2643,2,1,Urban,1990,605,400914.78
1756,4,3,Suburban,1997,399,490335.92
2928,3,2,Urban,2002,181,275911.34
1714,2,3,Suburban,1996,396,296336.64
1719,5,2,Suburban,2001,581,560702.2
1955,6,3,Suburban,2010,469,288754.96
1620,5,4,Rural,2010,589,396054.11
1827,3,1,Suburban,1987,68,140641.62
1444,4,3,Suburban,2006,571,396694.46
2410,2,2,Suburban,2018,153,514975.52
1870,3,4,Urban,1970,663,273610.47
1103,4,2,Suburban,2020,340,547440.64
1704,3,4,Rural,2020,234,280557.19
2611,4,4,Rural,1990,659,469517.57
915,4,1,Suburban,1997,471,201254.97
1643,5,2,Urban,1954,377,212601.41
2613,6,3,Urban,1988,540,436269.13
2414,2,1,Rural,1965,522,195540.14
2843,3,2,Rural,2014,528,187247.37
1555,6,2,Rural,2006,75,367694.82
1182,2,1,Rural,1965,337,295670.63
2479,6,2,Suburban,1987,719,238384.84
1326,6,4,Rural,1999,622,479437.09
1691,5,4,Urban,2001,70,537168.94
1510,3,2,Urban,1980,270,554716.16
2480,3,1,Urban,1979,10,557597.98
1010,2,2,Suburban,2010,797,472046.24
2781,3,2,Rural,1993,13,319130.53
1228,6,3,Urban,1956,692,266629.03
2277,6,4,Urban,1958,584,333991.84
1070,4,4,Urban,2006,573,528064.71
894,3,2,Urban,1991,26,383785.4
1902,4,3,Urban,1990,415,257795.14
2514,6,3,Urban,1960,460,524464.32
835,2,1,Urban,1960,63,271251.83
2331,6,4,Urban,2015,588,342496.09
2406,3,1,Rural,2020,670,306660.34
2882,6,2,Urban,2014,382,247346.62
2535,3,2,Urban,1959,458,343555.68
920,2,3,Urban,2019,385,242338.98
2093,2,1,Rural,1994,67,341144.14
2006,2,4,Rural,1960,392,439674.81
1148,6,2,Urban,1986,357,445483.73
2784,6,4,Urban,1955,338,159277.09
992,2,2,Rural,1998,155,163060.59
1511,4,4,Suburban,1976,217,545252.28
1147,5,2,Rural,2017,591,115166.76
1040,5,1,Suburban,1991,109,159195.96
1698,4,2,Rural,2014,351,144277.97
866,6,3,Suburban,1995,336,550032.37
1022,6,2,Suburban,1957,38,445351.72
2761,3,4,Suburban,1959,191,493727.73
1159,5,1,Urban,1968,292,540029.02
2732,5,3,Rural,1967,409,203543.08
2503,3,1,Rural,1964,507,573303.87
1069,4,2,Urban,1989,508,324188.94
